OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
?,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130
?,498,498,498,498,498,498,498,498,498,498
?,681,681,681,681,681,681,681,681,681,681
?,809,809,809,809,809,809,809,809,809,809
?,1793,1793,1793,1793,1793,1793,1793,1793,1793,1793
?,466,466,466,466,466,466,466,466,466,466
?,160,160,160,160,160,160,160,160,160,160
?,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738
?,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029
?,700,700,700,700,700,700,700,700,700,700
?,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565
?,2149,2149,2149,2149,2149,2149,2149,2149,2149,2149
?,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996
?,573,573,573,573,573,573,573,573,573,573
?,2241,2241,2241,2241,2241,2241,2241,2241,2241,2241
?,1713,1713,1713,1713,1713,1713,1713,1713,1713,1713
?,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636
?,38,38,38,38,38,38,38,38,38,38
?,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216
?,482,482,482,482,482,482,482,482,482,482
?,1784,1784,1784,1784,1784,1784,1784,1784,1784,1784
?,1206,1206,1206,1206,1206,1206,1206,1206,1206,1206
?,2772,2772,2772,2772,2772,2772,2772,2772,2772,2772
?,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111
?,2141,2141,2141,2141,2141,2141,2141,2141,2141,2141
?,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321
?,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520
?,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523
?,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310
?,2664,2664,2664,2664,2664,2664,2664,2664,2664,2664
?,680,680,680,680,680,680,680,680,680,680
?,580,580,580,580,580,580,580,580,580,580
?,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189
?,2144,2144,2144,2144,2144,2144,2144,2144,2144,2144
?,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806
?,838,838,838,838,838,838,838,838,838,838
?,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515
?,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521
?,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128
?,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477
?,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030
?,1934,1934,1934,1934,1934,1934,1934,1934,1934,1934
?,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896
?,863,863,863,863,863,863,863,863,863,863
?,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353
?,555,555,555,555,555,555,555,555,555,555
?,673,673,673,673,673,673,673,673,673,673
?,2148,2148,2148,2148,2148,2148,2148,2148,2148,2148
?,1941,1941,1941,1941,1941,1941,1941,1941,1941,1941
?,41,41,41,41,41,41,41,41,41,41
?,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302
?,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706
?,735,735,735,735,735,735,735,735,735,735
?,616,616,616,616,616,616,616,616,616,616
?,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928
?,275,275,275,275,275,275,275,275,275,275
?,23,23,23,23,23,23,23,23,23,23
?,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278
?,769,769,769,769,769,769,769,769,769,769
?,817,817,817,817,817,817,817,817,817,817
?,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843
?,385,385,385,385,385,385,385,385,385,385
?,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203
?,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879
?,1356,1356,1356,1356,1356,1356,1356,1356,1356,1356
?,388,388,388,388,388,388,388,388,388,388
?,251,251,251,251,251,251,251,251,251,251
?,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560
?,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920
?,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435
?,641,641,641,641,641,641,641,641,641,641
?,274,274,274,274,274,274,274,274,274,274
?,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436
?,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607
?,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291
?,926,926,926,926,926,926,926,926,926,926
?,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413
?,2576,2576,2576,2576,2576,2576,2576,2576,2576,2576
?,58,58,58,58,58,58,58,58,58,58
?,790,790,790,790,790,790,790,790,790,790
?,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125
?,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165
?,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746
?,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394
?,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253
?,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505
?,2558,2558,2558,2558,2558,2558,2558,2558,2558,2558
?,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652
?,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044
?,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299
?,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217
?,2628,2628,2628,2628,2628,2628,2628,2628,2628,2628
?,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701
?,830,830,830,830,830,830,830,830,830,830
?,318,318,318,318,318,318,318,318,318,318
?,2428,2428,2428,2428,2428,2428,2428,2428,2428,2428
?,625,625,625,625,625,625,625,625,625,625
?,422,422,422,422,422,422,422,422,422,422
?,887,887,887,887,887,887,887,887,887,887
?,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147
?,731,731,731,731,731,731,731,731,731,731
?,1077,1077,1077,1077,1077,1077,1077,1077,1077,1077
?,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309
?,420,420,420,420,420,420,420,420,420,420
?,519,519,519,519,519,519,519,519,519,519
?,2140,2140,2140,2140,2140,2140,2140,2140,2140,2140
?,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406
?,2642,2642,2642,2642,2642,2642,2642,2642,2642,2642
?,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569
?,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353
?,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358
?,2426,2426,2426,2426,2426,2426,2426,2426,2426,2426
?,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478
?,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136
?,2523,2523,2523,2523,2523,2523,2523,2523,2523,2523
?,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739
?,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940
?,858,858,858,858,858,858,858,858,858,858
?,689,689,689,689,689,689,689,689,689,689
?,11,11,11,11,11,11,11,11,11,11
?,950,950,950,950,950,950,950,950,950,950
?,887,887,887,887,887,887,887,887,887,887
?,375,375,375,375,375,375,375,375,375,375
?,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519
?,601,601,601,601,601,601,601,601,601,601
?,588,588,588,588,588,588,588,588,588,588
?,676,676,676,676,676,676,676,676,676,676
?,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948
?,2,2,2,2,2,2,2,2,2,2
?,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325
?,319,319,319,319,319,319,319,319,319,319
?,214,214,214,214,214,214,214,214,214,214
?,562,562,562,562,562,562,562,562,562,562
?,2096,2096,2096,2096,2096,2096,2096,2096,2096,2096
?,1801,1801,1801,1801,1801,1801,1801,1801,1801,1801
?,1743,1743,1743,1743,1743,1743,1743,1743,1743,1743
?,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724
?,1933,1933,1933,1933,1933,1933,1933,1933,1933,1933
?,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340
?,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240
?,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
?,481,481,481,481,481,481,481,481,481,481
?,987,987,987,987,987,987,987,987,987,987
?,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
?,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611
?,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546
?,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
?,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944
?,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455
?,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277
?,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139
?,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299
?,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174
?,321,321,321,321,321,321,321,321,321,321
?,2480,2480,2480,2480,2480,2480,2480,2480,2480,2480
?,877,877,877,877,877,877,877,877,877,877
?,681,681,681,681,681,681,681,681,681,681
?,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596
?,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138
?,586,586,586,586,586,586,586,586,586,586
?,1791,1791,1791,1791,1791,1791,1791,1791,1791,1791
?,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296
?,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809
?,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008
?,2848,2848,2848,2848,2848,2848,2848,2848,2848,2848
?,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027
?,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808
?,493,493,493,493,493,493,493,493,493,493
?,2286,2286,2286,2286,2286,2286,2286,2286,2286,2286
?,1784,1784,1784,1784,1784,1784,1784,1784,1784,1784
?,2671,2671,2671,2671,2671,2671,2671,2671,2671,2671
?,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427
?,730,730,730,730,730,730,730,730,730,730
?,104,104,104,104,104,104,104,104,104,104
?,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
?,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
?,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745
?,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418
?,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738
?,876,876,876,876,876,876,876,876,876,876
?,2528,2528,2528,2528,2528,2528,2528,2528,2528,2528
?,2293,2293,2293,2293,2293,2293,2293,2293,2293,2293
?,783,783,783,783,783,783,783,783,783,783
?,1567,1567,1567,1567,1567,1567,1567,1567,1567,1567
?,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533
?,734,734,734,734,734,734,734,734,734,734
?,44,44,44,44,44,44,44,44,44,44
?,803,803,803,803,803,803,803,803,803,803
?,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811
?,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479
?,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155
?,799,799,799,799,799,799,799,799,799,799
?,23,23,23,23,23,23,23,23,23,23
?,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402
?,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272
?,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346
?,386,386,386,386,386,386,386,386,386,386
?,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511
?,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040
?,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060
?,54,54,54,54,54,54,54,54,54,54
?,2486,2486,2486,2486,2486,2486,2486,2486,2486,2486
?,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119
?,138,138,138,138,138,138,138,138,138,138
?,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652
?,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127
?,2629,2629,2629,2629,2629,2629,2629,2629,2629,2629
?,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961
?,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632
?,180,180,180,180,180,180,180,180,180,180
?,2849,2849,2849,2849,2849,2849,2849,2849,2849,2849
?,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037
?,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124
?,2562,2562,2562,2562,2562,2562,2562,2562,2562,2562
?,235,235,235,235,235,235,235,235,235,235
?,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344
?,125,125,125,125,125,125,125,125,125,125
?,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929
?,2489,2489,2489,2489,2489,2489,2489,2489,2489,2489
?,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590
?,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862
?,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009
?,712,712,712,712,712,712,712,712,712,712
?,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940
?,2653,2653,2653,2653,2653,2653,2653,2653,2653,2653
?,2235,2235,2235,2235,2235,2235,2235,2235,2235,2235
?,426,426,426,426,426,426,426,426,426,426
?,157,157,157,157,157,157,157,157,157,157
?,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514
?,119,119,119,119,119,119,119,119,119,119
?,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511
?,628,628,628,628,628,628,628,628,628,628
?,725,725,725,725,725,725,725,725,725,725
?,540,540,540,540,540,540,540,540,540,540
?,340,340,340,340,340,340,340,340,340,340
?,1719,1719,1719,1719,1719,1719,1719,1719,1719,1719
?,490,490,490,490,490,490,490,490,490,490
?,230,230,230,230,230,230,230,230,230,230
?,1817,1817,1817,1817,1817,1817,1817,1817,1817,1817
?,2612,2612,2612,2612,2612,2612,2612,2612,2612,2612
?,256,256,256,256,256,256,256,256,256,256
?,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288
?,400,400,400,400,400,400,400,400,400,400
?,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229
?,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137
?,796,796,796,796,796,796,796,796,796,796
?,2684,2684,2684,2684,2684,2684,2684,2684,2684,2684
?,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515
?,69,69,69,69,69,69,69,69,69,69
?,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363
?,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753
?,1297,1297,1297,1297,1297,1297,1297,1297,1297,1297
?,694,694,694,694,694,694,694,694,694,694
?,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404
?,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501
?,2115,2115,2115,2115,2115,2115,2115,2115,2115,2115
?,59,59,59,59,59,59,59,59,59,59
?,2722,2722,2722,2722,2722,2722,2722,2722,2722,2722
?,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652
?,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706
?,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735
?,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
?,252,252,252,252,252,252,252,252,252,252
?,267,267,267,267,267,267,267,267,267,267
?,791,791,791,791,791,791,791,791,791,791
?,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055
?,605,605,605,605,605,605,605,605,605,605
?,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093
?,344,344,344,344,344,344,344,344,344,344
?,707,707,707,707,707,707,707,707,707,707
?,1817,1817,1817,1817,1817,1817,1817,1817,1817,1817
?,183,183,183,183,183,183,183,183,183,183
?,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129
?,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493
?,814,814,814,814,814,814,814,814,814,814
?,2821,2821,2821,2821,2821,2821,2821,2821,2821,2821
?,2071,2071,2071,2071,2071,2071,2071,2071,2071,2071
?,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677
?,709,709,709,709,709,709,709,709,709,709
?,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603
?,14,14,14,14,14,14,14,14,14,14
?,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275
?,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122
?,2297,2297,2297,2297,2297,2297,2297,2297,2297,2297
?,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437
?,483,483,483,483,483,483,483,483,483,483
?,1399,1399,1399,1399,1399,1399,1399,1399,1399,1399
?,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
?,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328
?,353,353,353,353,353,353,353,353,353,353
?,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320
?,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897
?,362,362,362,362,362,362,362,362,362,362
?,477,477,477,477,477,477,477,477,477,477
?,371,371,371,371,371,371,371,371,371,371
?,748,748,748,748,748,748,748,748,748,748
?,354,354,354,354,354,354,354,354,354,354
?,761,761,761,761,761,761,761,761,761,761
?,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301
?,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422
?,2567,2567,2567,2567,2567,2567,2567,2567,2567,2567
?,83,83,83,83,83,83,83,83,83,83
?,694,694,694,694,694,694,694,694,694,694
?,43,43,43,43,43,43,43,43,43,43
?,891,891,891,891,891,891,891,891,891,891
?,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614
?,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535
?,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
?,333,333,333,333,333,333,333,333,333,333
?,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011
?,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261
?,2789,2789,2789,2789,2789,2789,2789,2789,2789,2789
?,2631,2631,2631,2631,2631,2631,2631,2631,2631,2631
?,783,783,783,783,783,783,783,783,783,783
?,544,544,544,544,544,544,544,544,544,544
?,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272
?,219,219,219,219,219,219,219,219,219,219
?,1554,1554,1554,1554,1554,1554,1554,1554,1554,1554
?,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176
?,730,730,730,730,730,730,730,730,730,730
?,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143
?,576,576,576,576,576,576,576,576,576,576
?,2315,2315,2315,2315,2315,2315,2315,2315,2315,2315
?,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293
?,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696
?,926,926,926,926,926,926,926,926,926,926
?,772,772,772,772,772,772,772,772,772,772
?,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118
?,817,817,817,817,817,817,817,817,817,817
?,726,726,726,726,726,726,726,726,726,726
?,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209
?,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063
?,1801,1801,1801,1801,1801,1801,1801,1801,1801,1801
?,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084
?,379,379,379,379,379,379,379,379,379,379
?,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007
?,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455
?,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371
?,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490
?,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429
?,2629,2629,2629,2629,2629,2629,2629,2629,2629,2629
?,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143
?,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842
?,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585
?,2815,2815,2815,2815,2815,2815,2815,2815,2815,2815
?,699,699,699,699,699,699,699,699,699,699
?,151,151,151,151,151,151,151,151,151,151
?,2398,2398,2398,2398,2398,2398,2398,2398,2398,2398
?,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
?,638,638,638,638,638,638,638,638,638,638
?,2204,2204,2204,2204,2204,2204,2204,2204,2204,2204
?,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330
?,863,863,863,863,863,863,863,863,863,863
?,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778
?,1421,1421,1421,1421,1421,1421,1421,1421,1421,1421
?,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647
?,2794,2794,2794,2794,2794,2794,2794,2794,2794,2794
?,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183
?,850,850,850,850,850,850,850,850,850,850
?,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402
?,2064,2064,2064,2064,2064,2064,2064,2064,2064,2064
?,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260
?,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102
?,372,372,372,372,372,372,372,372,372,372
?,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103
?,864,864,864,864,864,864,864,864,864,864
?,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058
?,894,894,894,894,894,894,894,894,894,894
?,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916
?,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069
?,129,129,129,129,129,129,129,129,129,129
?,473,473,473,473,473,473,473,473,473,473
?,2118,2118,2118,2118,2118,2118,2118,2118,2118,2118
?,2697,2697,2697,2697,2697,2697,2697,2697,2697,2697
?,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586
?,764,764,764,764,764,764,764,764,764,764
?,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947
?,573,573,573,573,573,573,573,573,573,573
?,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914
?,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404
?,1323,1323,1323,1323,1323,1323,1323,1323,1323,1323
?,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525
?,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310
?,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548
?,2697,2697,2697,2697,2697,2697,2697,2697,2697,2697
?,2411,2411,2411,2411,2411,2411,2411,2411,2411,2411
?,139,139,139,139,139,139,139,139,139,139
?,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321
?,429,429,429,429,429,429,429,429,429,429
?,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579
?,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470
?,33,33,33,33,33,33,33,33,33,33
?,651,651,651,651,651,651,651,651,651,651
?,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727
?,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948
?,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371
?,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380
?,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654
?,411,411,411,411,411,411,411,411,411,411
?,767,767,767,767,767,767,767,767,767,767
?,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467
?,1255,1255,1255,1255,1255,1255,1255,1255,1255,1255
?,667,667,667,667,667,667,667,667,667,667
?,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913
?,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240
?,763,763,763,763,763,763,763,763,763,763
